5	63	48	97	68	14	69	15	88	46	66	14	5	32	45	98	57	96	73	26
57	50	32	20	38	57	30	14	102	99	89	0	56	90	92	43	70	98	95	55
52	97	18	5	84	68	6	57	24	43	2	74	73	54	90	79	82	24	23	36
38	55	97	72	15	84	19	86	90	32	79	11	53	30	17	62	38	102	44	66
44	36	13	10	4	48	4	1	79	64	100	13	105	48	76	49	30	30	25	40
96	105	87	85	44	78	21	68	84	36	23	33	20	75	96	81	72	87	48	98
105	31	65	21	80	107	64	25	74	65	67	56	65	95	77	22	86	76	26	15
51	78	14	11	27	105	55	22	59	20	92	4	66	40	63	14	41	84	93	17
32	91	1	54	29	65	103	24	25	73	41	34	34	10	73	83	50	27	100	60
82	102	80	100	47	83	94	58	9	87	74	77	41	102	65	88	5	94	58	99
48	24	100	86	78	86	100	72	31	86	1	40	21	8	97	36	34	47	14	70
43	71	107	6	20	6	40	42	1	62	3	7	16	29	57	55	78	63	53	41
28	15	17	70	51	82	83	54	95	26	88	57	81	87	103	33	46	19	38	4
11	107	56	64	12	28	72	75	43	75	35	45	96	64	11	71	25	32	80	3
92	9	105	37	43	104	23	67	29	72	19	47	32	89	93	90	99	101	59	90
56	12	27	80	101	63	75	95	13	15	20	63	15	94	42	105	16	86	83	12
35	11	40	23	49	60	57	59	92	61	76	60	102	81	24	104	17	74	51	20
27	85	73	106	79	64	79	92	107	8	63	38	94	28	53	75	106	59	77	83
13	29	0	55	60	46	42	21	62	80	29	30	68	67	70	87	69	45	4	31
19	1	57	58	25	90	43	66	82	102	33	102	89	69	74	93	2	79	0	81
88	44	45	91	56	77	41	56	85	103	73	73	48	56	89	63	42	100	5	6
107	25	36	52	99	26	54	37	60	91	55	22	47	57	20	89	44	46	65	21
86	38	42	77	14	22	13	34	49	101	61	83	57	18	52	37	26	2	85	107
55	96	67	22	53	47	12	85	17	1	106	58	25	77	21	8	94	93	24	54
40	21	44	88	57	45	104	53	11	13	45	87	24	61	23	54	39	37	17	24
9	6	91	73	75	56	107	3	22	69	58	70	92	106	75	18	20	107	56	50
91	51	59	46	30	75	45	94	20	21	62	23	2	101	102	97	27	18	91	75
95	80	58	95	85	85	32	20	18	30	75	76	30	44	82	6	23	41	37	92
80	57	39	36	23	66	101	19	16	52	69	54	79	7	16	107	8	6	102	102
2	106	2	103	86	52	5	106	57	63	15	44	29	39	1	76	55	56	42	29
74	79	34	102	24	5	7	43	36	6	102	36	58	73	22	74	12	38	64	11
12	19	90	90	13	37	46	78	87	74	53	81	27	62	51	10	32	55	62	48
99	17	77	76	32	7	53	79	65	107	52	48	43	16	72	52	15	31	105	96
94	89	92	7	73	94	73	11	80	31	72	31	51	24	2	72	3	23	10	46
72	100	82	78	81	58	90	2	5	104	24	69	13	91	61	21	75	35	29	80
21	103	75	42	83	30	38	107	70	48	49	55	62	13	104	24	91	9	70	94
58	83	94	47	95	49	77	41	33	90	40	26	77	27	80	34	31	75	107	77
20	75	20	27	106	103	82	27	47	4	99	18	106	38	99	19	100	39	63	0
84	54	61	92	72	81	18	100	93	88	8	46	45	34	95	11	63	21	1	105
103	26	62	57	21	15	33	89	6	83	48	82	26	47	32	66	4	73	55	18
7	22	33	68	0	70	56	61	97	41	56	91	7	88	31	58	96	99	40	88
104	69	4	18	18	12	51	63	39	50	27	98	97	4	106	13	67	5	90	38
69	74	102	17	102	102	95	5	8	0	54	59	93	23	49	26	28	103	61	87
75	2	83	33	71	76	70	60	98	67	59	5	74	76	91	60	107	22	96	45
6	73	52	60	67	91	87	4	7	38	98	107	98	65	3	84	102	67	74	89
36	47	81	74	94	44	44	39	68	94	38	53	42	17	41	86	98	49	35	68
65	52	99	2	91	74	85	40	81	35	97	21	99	33	26	80	83	26	106	56
14	4	64	44	46	67	76	49	45	28	28	52	91	21	71	96	10	53	69	64
4	77	31	81	90	13	89	71	77	79	32	79	1	55	29	1	22	16	94	34
71	16	50	9	93	88	31	31	106	37	80	103	12	22	79	27	48	14	71	27
81	5	16	56	69	73	47	52	50	66	83	94	4	78	55	35	1	72	31	58
0	81	9	31	19	36	97	0	48	97	107	84	0	98	85	67	37	57	104	71
18	18	101	94	98	34	34	93	35	51	77	43	83	100	48	23	68	85	33	103
78	33	85	53	63	10	106	55	91	77	9	24	75	92	105	106	95	82	82	85
70	82	93	4	26	95	66	81	40	92	57	104	90	96	78	92	62	44	78	72
